id,regionLevel,regionLevel1,regionLevel2,regionLevel3,regionType,locationName,altLocationName,latitude,longitude,fips
161,2,Canada,Ontario,,province,"Ontario, Canada",,-85.3232,51.2538,
162,3,US,Virginia,King William,county,"King William, Virginia, US",,-77.09384941,37.70965316,51101
163,3,US,Kentucky,Spencer,county,"Spencer, Kentucky, US",,-85.32749335,38.03223971,21215
164,3,US,Nebraska,Keith,county,"Keith, Nebraska, US",,-101.6620164,41.19930341,31101
165,3,US,California,Yuba,county,"Yuba, California, US",,-121.3535644,39.26255932,6115
166,3,US,Maine,Somerset,county,"Somerset, Maine, US",,-69.95995554,45.51229767,23025
167,3,US,Pennsylvania,Perry,county,"Perry, Pennsylvania, US",,-77.26297447,40.40206612,42099
168,3,US,Texas,Zavala,county,"Zavala, Texas, US",,-99.76050829,28.86617238,48507
169,3,US,New Mexico,Lea,county,"Lea, New Mexico, US",,-103.4123733,32.79215361,35025
170,3,US,Minnesota,Norman,county,"Norman, Minnesota, US",,-96.45620947,47.32628443,27107
171,3,US,Nebraska,Howard,county,"Howard, Nebraska, US",,-98.5166499,41.2200529,31093
172,1,Ecuador,,,country,Ecuador,,-78.1834,-1.8312,
173,3,US,Idaho,Canyon,county,"Canyon, Idaho, US",,-116.7095499,43.61970148,16027
174,3,US,Louisiana,Livingston,county,"Livingston, Louisiana, US",,-90.73061664,30.44143993,22063
175,3,US,South Dakota,Butte,county,"Butte, South Dakota, US",,-103.5079318,44.90608745,46019
176,3,US,Colorado,Jefferson,county,"Jefferson, Colorado, US",,-105.2517692,39.58635604,8059
177,3,US,Alaska,Denali,county,"Denali, Alaska, US",,-150.0076108,63.67264044,2068
178,3,US,Kentucky,Larue,county,"Larue, Kentucky, US",,-85.70138352,37.54567114,21123
179,3,US,Pennsylvania,Venango,county,"Venango, Pennsylvania, US",,-79.75845449,41.40323442,42121
180,3,US,Massachusetts,Nantucket,county,"Nantucket, Massachusetts, US",,-70.08774729,41.2942019,25019
181,3,US,Texas,Freestone,county,"Freestone, Texas, US",,-96.15072516,31.70422788,48161
182,3,US,Texas,Wheeler,county,"Wheeler, Texas, US",,-100.2699514,35.40114335,48483
183,1,Switzerland,,,country,Switzerland,,8.2275,46.8182,
184,3,US,Alabama,Tallapoosa,county,"Tallapoosa, Alabama, US",,-85.79833053,32.86698258,1123
185,3,US,Ohio,Williams,county,"Williams, Ohio, US",,-84.58429552,41.56052014,39171
186,3,US,Oregon,Yamhill,county,"Yamhill, Oregon, US",,-123.3086963,45.23330449,41071
187,3,US,Ohio,Fayette,county,"Fayette, Ohio, US",,-83.4562016,39.56021306,39047
188,3,US,Ohio,Muskingum,county,"Muskingum, Ohio, US",,-81.94363275,39.96575964,39119
189,3,US,Kentucky,Pike,county,"Pike, Kentucky, US",,-82.39487445,37.47088263,21195
190,3,US,Georgia,Jasper,county,"Jasper, Georgia, US",,-83.68844964,33.31535543,13159
191,3,US,Alaska,Sitka,county,"Sitka, Alaska, US",,-135.3206587,57.24124555,2220
192,3,US,Kentucky,Elliott,county,"Elliott, Kentucky, US",,-83.09771563,38.11624059,21063
193,3,US,Texas,Gregg,county,"Gregg, Texas, US",,-94.81591935,32.47940482,48183
194,1,Azerbaijan,,,country,Azerbaijan,,47.5769,40.1431,
195,3,US,Wisconsin,Crawford,county,"Crawford, Wisconsin, US",,-90.93073686,43.23870316,55023
196,3,US,Nebraska,Loup,county,"Loup, Nebraska, US",,-99.45440415,41.91371961,31115
197,3,US,Virginia,Lynchburg,county,"Lynchburg, Virginia, US",,-79.19888138,37.40021399,51680
198,3,US,Oklahoma,Out of OK,county,"Out of OK, Oklahoma, US",,,,
199,3,US,Texas,Wilbarger,county,"Wilbarger, Texas, US",,-99.24178437,34.07945812,48487
200,3,US,New Jersey,Salem,county,"Salem, New Jersey, US",,-75.3469663,39.58719656,34033
201,3,US,North Carolina,Stanly,county,"Stanly, North Carolina, US",,-80.25093221,35.31647813,37167
202,3,US,Kentucky,Harlan,county,"Harlan, Kentucky, US",,-83.21899516,36.85699301,21095
203,3,US,Georgia,Meriwether,county,"Meriwether, Georgia, US",,-84.68859732,33.04163534,13199
204,1,Nicaragua,,,country,Nicaragua,,-85.2072,12.8654,
205,3,US,Nebraska,Platte,county,"Platte, Nebraska, US",,-97.52144359,41.57246836,31141
206,3,US,Missouri,Holt,county,"Holt, Missouri, US",,-95.2163888,40.09799248,29087
207,3,US,Wyoming,Big Horn,county,"Big Horn, Wyoming, US",,-107.9960365,44.52405055,56003
208,3,US,North Dakota,LaMoure,county,"LaMoure, North Dakota, US",,-98.53542355,46.45681054,38045
209,3,US,Louisiana,East Carroll,county,"East Carroll, Louisiana, US",,-91.23425694,32.73926954,22035
210,3,US,Georgia,Wayne,county,"Wayne, Georgia, US",,-81.91894878,31.5521809,13305
211,3,US,Colorado,Archuleta,county,"Archuleta, Colorado, US",,-107.0476867,37.19474156,8007
212,3,US,Maine,Waldo,county,"Waldo, Maine, US",,-69.12061935,44.4858305,23027
213,3,US,Illinois,Sangamon,county,"Sangamon, Illinois, US",,-89.65872023,39.75836914,17167
214,3,US,Arkansas,Ashley,county,"Ashley, Arkansas, US",,-91.7698471,33.19153461,5003
215,2,United Kingdom,Turks and Caicos Islands,,province,"Turks and Caicos Islands, United Kingdom",,-71.7979,21.694,
216,3,US,Wisconsin,Waukesha,county,"Waukesha, Wisconsin, US",,-88.30431188,43.01833055,55133
217,3,US,Kansas,Sheridan,county,"Sheridan, Kansas, US",,-100.4418259,39.35018161,20179
218,3,US,California,El Dorado,county,"El Dorado, California, US",,-120.5233166,38.77965956,6017
219,3,US,Colorado,Phillips,county,"Phillips, Colorado, US",,-102.3577703,40.59414277,8095
220,3,US,Texas,Foard,county,"Foard, Texas, US",,-99.7767797,33.97308618,48155
221,3,US,Alabama,Walker,county,"Walker, Alabama, US",,-87.30027177,33.80270512,1127
222,3,US,Florida,Charlotte,county,"Charlotte, Florida, US",,-81.92949121,26.90131002,12015
223,3,US,Kentucky,Henry,county,"Henry, Kentucky, US",,-85.11587507,38.44942688,21103
224,3,US,California,Nevada,county,"Nevada, California, US",,-120.7627281,39.30394768,6057
225,1,West Bank and Gaza,,,country,West Bank and Gaza,,35.2332,31.9522,
226,1,Israel,,,country,Israel,,35,31,
227,3,US,Maryland,Somerset,county,"Somerset, Maryland, US",,-75.75118623,38.1163542,24039
228,3,US,Ohio,Sandusky,county,"Sandusky, Ohio, US",,-83.137872,41.35624126,39143
229,3,US,Iowa,Marion,county,"Marion, Iowa, US",,-93.09934783,41.33445101,19125
230,3,US,Kansas,Smith,county,"Smith, Kansas, US",,-98.78566062,39.78516566,20183
231,3,US,Georgia,Crisp,county,"Crisp, Georgia, US",,-83.76811843,31.92289565,13081
232,3,US,New Jersey,Cape May,county,"Cape May, New Jersey, US",,-74.80170244,39.15008829,34009
233,3,US,Ohio,Allen,county,"Allen, Ohio, US",,-84.10802343,40.77285242,39003
234,3,US,Louisiana,St. Tammany,county,"St. Tammany, Louisiana, US",,-89.95642711,30.40942847,22103
235,3,US,New York,Clinton,county,"Clinton, New York, US",,-73.67875352,44.74530905,36019
236,3,US,Wisconsin,Pierce,county,"Pierce, Wisconsin, US",,-92.4224416,44.71850291,55093
237,1,Mauritius,,,country,Mauritius,,57.5,-20.2,
238,3,US,Louisiana,Terrebonne,county,"Terrebonne, Louisiana, US",,-90.82626855,29.37343766,22109
239,3,US,Texas,Hamilton,county,"Hamilton, Texas, US",,-98.11083887,31.70470573,48193
240,3,US,Kentucky,Boyd,county,"Boyd, Kentucky, US",,-82.68652187,38.36176608,21019
241,3,US,Ohio,Morrow,county,"Morrow, Ohio, US",,-82.7892599,40.5236356,39117
242,3,US,South Dakota,Mellette,county,"Mellette, South Dakota, US",,-100.7563186,43.58078848,46095
243,3,US,Texas,Aransas,county,"Aransas, Texas, US",,-96.9995047,28.10556197,48007
244,3,US,Texas,Mills,county,"Mills, Texas, US",,-98.59272068,31.49557106,48333
245,3,US,South Dakota,Clark,county,"Clark, South Dakota, US",,-97.72925109,44.85834507,46025
246,3,US,Arizona,Pinal,county,"Pinal, Arizona, US",,-111.3449483,32.90525627,4021
247,3,US,New Jersey,Hunterdon,county,"Hunterdon, New Jersey, US",,-74.91284156,40.56335249,34019
248,1,Portugal,,,country,Portugal,,-8.2245,39.3999,
249,3,US,Iowa,Osceola,county,"Osceola, Iowa, US",,-95.62422844,43.37824276,19143
250,3,US,Kentucky,Pendleton,county,"Pendleton, Kentucky, US",,-84.35599463,38.69607718,21191
251,3,US,Alaska,Prince of Wales-Hyder,county,"Prince of Wales-Hyder, Alaska, US",,-133.0511621,55.76261984,2198
252,3,US,Oklahoma,Kingfisher,county,"Kingfisher, Oklahoma, US",,-97.94193268,35.94530008,40073
253,3,US,Kentucky,Grant,county,"Grant, Kentucky, US",,-84.62415957,38.64962758,21081
254,3,US,New York,Bronx,county,"Bronx, New York, US",,-73.86282755,40.85209301,36005
255,3,US,Arkansas,Washington,county,"Washington, Arkansas, US",,-94.21800746,35.976844,5143
256,3,US,Kentucky,Union,county,"Union, Kentucky, US",,-87.94300009,37.66166713,21225
257,3,US,Missouri,Buchanan,county,"Buchanan, Missouri, US",,-94.80138942,39.65816401,29021
258,3,US,Georgia,Decatur,county,"Decatur, Georgia, US",,-84.57619536,30.87967778,13087
259,3,US,Ohio,Ottawa,county,"Ottawa, Ohio, US",,-83.0940185,41.53781826,39123
260,3,US,Tennessee,Cocke,county,"Cocke, Tennessee, US",,-83.11828725,35.9278914,47029
261,3,US,Louisiana,Washington,county,"Washington, Louisiana, US",,-90.03866652,30.85288548,22117
262,3,US,Minnesota,Cook,county,"Cook, Minnesota, US",,-90.52629546,47.90504893,27031
263,3,US,Louisiana,Grant,county,"Grant, Louisiana, US",,-92.56124347,31.59882456,22043
264,3,US,Washington,Whitman,county,"Whitman, Washington, US",,-117.5241763,46.90022523,53075
265,3,US,North Dakota,Ramsey,county,"Ramsey, North Dakota, US",,-98.72223879,48.26886249,38071
266,3,US,South Carolina,Calhoun,county,"Calhoun, South Carolina, US",,-80.77722168,33.66926881,45017
267,3,US,Nevada,Pershing,county,"Pershing, Nevada, US",,-118.4005641,40.44003782,32027
268,3,US,Michigan,Gratiot,county,"Gratiot, Michigan, US",,-84.60505416,43.29265605,26057
269,1,Kyrgyzstan,,,country,Kyrgyzstan,,74.7661,41.2044,
270,3,US,Colorado,Hinsdale,county,"Hinsdale, Colorado, US",,-107.3004345,37.82247444,8053
271,3,US,Michigan,Otsego,county,"Otsego, Michigan, US",,-84.59898295,45.02085831,26137
272,3,US,Utah,Piute,county,"Piute, Utah, US",,-112.1249591,38.33815254,49031
273,3,US,Iowa,Wright,county,"Wright, Iowa, US",,-93.73515113,42.73305373,19197
274,3,US,Maine,Androscoggin,county,"Androscoggin, Maine, US",,-70.20380627,44.1664747,23001
275,3,US,Texas,Upshur,county,"Upshur, Texas, US",,-94.93999853,32.73706798,48459
276,3,US,Georgia,Brooks,county,"Brooks, Georgia, US",,-83.58303423,30.83922642,13027
277,3,US,New Mexico,Dona Ana,county,"Dona Ana, New Mexico, US",,-106.8329387,32.35275771,35013
278,3,US,North Carolina,Alleghany,county,"Alleghany, North Carolina, US",,-81.12857041,36.49360862,37005
279,1,Malaysia,,,country,Malaysia,,112.5,2.5,
280,3,US,South Dakota,Jones,county,"Jones, South Dakota, US",,-100.6940008,43.96278565,46075
281,3,US,West Virginia,Kanawha,county,"Kanawha, West Virginia, US",,-81.52857054,38.33860077,54039
282,3,US,North Carolina,Madison,county,"Madison, North Carolina, US",,-82.71346418,35.85402722,37115
283,3,US,Wisconsin,Richland,county,"Richland, Wisconsin, US",,-90.43012729,43.3762778,55103
284,3,US,Louisiana,Caddo,county,"Caddo, Louisiana, US",,-93.88375652,32.57991587,22017
285,3,US,New York,Niagara,county,"Niagara, New York, US",,-78.74777412,43.19898042,36063
286,3,US,Montana,Valley,county,"Valley, Montana, US",,-106.6669635,48.36435097,30105
287,3,US,California,Napa,county,"Napa, California, US",,-122.332839,38.50735751,6055
288,3,US,Virginia,Craig,county,"Craig, Virginia, US",,-80.21072274,37.48133648,51045
289,3,US,Missouri,Grundy,county,"Grundy, Missouri, US",,-93.56509276,40.11406587,29079
290,3,US,Illinois,Pike,county,"Pike, Illinois, US",,-90.8877017,39.62265059,17149
291,3,US,Montana,Wibaux,county,"Wibaux, Montana, US",,-104.2510927,46.95925154,30109
292,3,US,Massachusetts,Hampshire,county,"Hampshire, Massachusetts, US",,-72.65898478,42.33997957,25015
293,3,US,Arizona,Greenlee,county,"Greenlee, Arizona, US",,-109.2405279,33.21498827,4011
294,3,US,Massachusetts,Worcester,county,"Worcester, Massachusetts, US",,-71.90493363,42.35026951,25027
295,3,US,New York,Steuben,county,"Steuben, New York, US",,-77.3829924,42.2689144,36101
296,1,Iraq,,,country,Iraq,,44,33,
297,3,US,Colorado,Weld,county,"Weld, Colorado, US",,-104.3929621,40.55499405,8123
298,3,US,Kentucky,Taylor,county,"Taylor, Kentucky, US",,-85.3329931,37.3677562,21217
299,3,US,Indiana,Morgan,county,"Morgan, Indiana, US",,-86.44573375,39.47899078,18109
300,3,US,North Carolina,Cherokee,county,"Cherokee, North Carolina, US",,-84.05970864,35.1349263,37039
301,3,US,Tennessee,Lawrence,county,"Lawrence, Tennessee, US",,-87.39787695,35.21675201,47099
302,3,US,Washington,Pierce,county,"Pierce, Washington, US",,-122.1405958,47.03892768,53053
303,3,US,California,Lake,county,"Lake, California, US",,-122.7536244,39.10124298,6033
304,3,US,Virginia,King George,county,"King George, Virginia, US",,-77.15852768,38.26818502,51099
305,3,US,Georgia,Chatham,county,"Chatham, Georgia, US",,-81.12489526,32.00043026,13051
306,3,US,Florida,Pasco,county,"Pasco, Florida, US",,-82.40227529,28.30810945,12101
307,2,Denmark,Greenland,,province,"Greenland, Denmark",,-42.6043,71.7069,
308,3,US,New Jersey,Essex,county,"Essex, New Jersey, US",,-74.24657979,40.78681335,34013
309,3,US,Oklahoma,Payne,county,"Payne, Oklahoma, US",,-96.97584944,36.07695283,40119
310,3,US,Ohio,Montgomery,county,"Montgomery, Ohio, US",,-84.29050975,39.75394919,39113
311,3,US,Tennessee,Giles,county,"Giles, Tennessee, US",,-87.03992678,35.20222469,47055
312,3,US,Colorado,Pueblo,county,"Pueblo, Colorado, US",,-104.5127437,38.17359144,8101
313,3,US,Tennessee,Sullivan,county,"Sullivan, Tennessee, US",,-82.30412917,36.51240691,47163
314,3,US,South Dakota,Lyman,county,"Lyman, South Dakota, US",,-99.85201878,43.89522709,46085
315,3,US,Kansas,Kiowa,county,"Kiowa, Kansas, US",,-99.2856537,37.55848695,20097
316,3,US,Mississippi,Wayne,county,"Wayne, Mississippi, US",,-88.69573913,31.64135687,28153
317,3,US,Georgia,Fulton,county,"Fulton, Georgia, US",,-84.46319413,33.79216944,13121
318,2,United Kingdom,Isle of Man,,province,"Isle of Man, United Kingdom",,-4.5481,54.2361,
319,3,US,Tennessee,Dyer,county,"Dyer, Tennessee, US",,-89.41542855,36.05931946,47045
320,3,US,Arkansas,Howard,county,"Howard, Arkansas, US",,-93.9934871,34.09007427,5061
321,3,US,Ohio,Knox,county,"Knox, Ohio, US",,-82.42027563,40.39830217,39083
322,3,US,Minnesota,Martin,county,"Martin, Minnesota, US",,-94.55099908,43.67429718,27091
323,3,US,Texas,Trinity,county,"Trinity, Texas, US",,-95.1367187,31.0879489,48455
324,3,US,Oklahoma,Stephens,county,"Stephens, Oklahoma, US",,-97.85141892,34.48556989,40137
325,3,US,Virginia,Tazewell,county,"Tazewell, Virginia, US",,-81.56685568,37.12191123,51185
326,3,US,South Dakota,Grant,county,"Grant, South Dakota, US",,-96.77002276,45.1723937,46051
327,3,US,Texas,Victoria,county,"Victoria, Texas, US",,-96.96813006,28.79780988,48469
328,1,Zimbabwe,,,country,Zimbabwe,,30,-20,
329,1,Georgia,,,country,Georgia,GA,43.3569,42.3154,
330,3,US,Wisconsin,Trempealeau,county,"Trempealeau, Wisconsin, US",,-91.35893614,44.30360275,55121
331,3,US,Missouri,Jackson,county,"Jackson, Missouri, US",,-94.34724536,39.01002188,29095
332,3,US,South Carolina,Edgefield,county,"Edgefield, South Carolina, US",,-81.96231108,33.77221995,45037
333,3,US,Virginia,Portsmouth,county,"Portsmouth, Virginia, US",,-76.35971629,36.85914825,51740
334,3,US,Michigan,Oceana,county,"Oceana, Michigan, US",,-86.26726673,43.64124435,26127
335,3,US,Wyoming,Laramie,county,"Laramie, Wyoming, US",,-104.6887497,41.3070252,56021
336,3,US,Maine,Penobscot,county,"Penobscot, Maine, US",,-68.65020455,45.40194593,23019
337,3,US,Indiana,Benton,county,"Benton, Indiana, US",,-87.31093999,40.60626947,18007
338,3,US,Rhode Island,Providence,county,"Providence, Rhode Island, US",,-71.57753536,41.87064746,44007
339,3,US,Georgia,Dawson,county,"Dawson, Georgia, US",,-84.16964071,34.44244079,13085
340,1,Nigeria,,,country,Nigeria,,8.6753,9.082,
341,3,US,South Carolina,Greenwood,county,"Greenwood, South Carolina, US",,-82.12715789,34.15272415,45047
342,3,US,Wisconsin,Sauk,county,"Sauk, Wisconsin, US",,-89.94966132,43.42574087,55111
343,3,US,Mississippi,Lawrence,county,"Lawrence, Mississippi, US",,-90.10841127,31.55147224,28077
344,3,US,Virginia,King and Queen,county,"King and Queen, Virginia, US",,-76.88689628,37.71044922,51097
345,3,US,Colorado,Dolores,county,"Dolores, Colorado, US",,-108.5211585,37.75208676,8033
346,3,US,Alaska,Skagway,county,"Skagway, Alaska, US",,-135.3337748,59.56149996,2230
347,3,US,Iowa,Monona,county,"Monona, Iowa, US",,-95.95743843,42.05220391,19133
348,3,US,Florida,Taylor,county,"Taylor, Florida, US",,-83.60445406,30.04848048,12123
349,3,US,Ohio,Wayne,county,"Wayne, Ohio, US",,-81.88844833,40.82925852,39169
350,3,US,North Carolina,Randolph,county,"Randolph, North Carolina, US",,-79.80570339,35.71015088,37151
351,3,US,Missouri,Livingston,county,"Livingston, Missouri, US",,-93.54645978,39.78110272,29117
352,3,US,North Carolina,Brunswick,county,"Brunswick, North Carolina, US",,-78.22814204,34.070565,37019
353,3,US,Texas,Hockley,county,"Hockley, Texas, US",,-102.3431676,33.60771256,48219
354,3,US,Michigan,Lapeer,county,"Lapeer, Michigan, US",,-83.22153148,43.09052506,26087
355,3,US,Alabama,Chilton,county,"Chilton, Alabama, US",,-86.7173256,32.85044126,1021
356,3,US,Arkansas,Dallas,county,"Dallas, Arkansas, US",,-92.65167437,33.97042763,5039
357,3,US,North Dakota,Dickey,county,"Dickey, North Dakota, US",,-98.5049008,46.11017712,38021
358,3,US,South Dakota,Deuel,county,"Deuel, South Dakota, US",,-96.66943645,44.75994309,46039
359,3,US,Colorado,Fremont,county,"Fremont, Colorado, US",,-105.4399667,38.47362326,8043
360,3,US,Florida,Levy,county,"Levy, Florida, US",,-82.74007147,29.31829741,12075
361,3,US,Montana,Beaverhead,county,"Beaverhead, Montana, US",,-112.8984694,45.13434354,30001
362,3,US,Kentucky,Fayette,county,"Fayette, Kentucky, US",,-84.45576892,38.0368225,21067
363,3,US,Minnesota,Blue Earth,county,"Blue Earth, Minnesota, US",,-94.06699781,44.03554215,27013
364,3,US,North Carolina,Tyrrell,county,"Tyrrell, North Carolina, US",,-76.17055253,35.87147226,37177
365,3,US,Iowa,Linn,county,"Linn, Iowa, US",,-91.59809485,42.07923082,19113
366,3,US,Missouri,Miller,county,"Miller, Missouri, US",,-92.42610898,38.21450288,29131
367,3,US,Maryland,Kent,county,"Kent, Maryland, US",,-76.04741541,39.24976208,24029
368,2,China,Hebei,,province,"Hebei, China",,116.1306,39.549,
369,3,US,Texas,Webb,county,"Webb, Texas, US",,-99.33237355,27.7610369,48479
370,3,US,Wisconsin,Rusk,county,"Rusk, Wisconsin, US",,-91.1333012,45.47498854,55107
371,3,US,Illinois,Stephenson,county,"Stephenson, Illinois, US",,-89.662598,42.35129217,17177
372,3,US,Texas,Burleson,county,"Burleson, Texas, US",,-96.62158484,30.49273808,48051
373,3,US,Tennessee,Robertson,county,"Robertson, Tennessee, US",,-86.87346725,36.52454807,47147
374,3,US,Georgia,Jones,county,"Jones, Georgia, US",,-83.56019163,33.02512137,13169
375,3,US,Virginia,Norton,county,"Norton, Virginia, US",,-82.62750411,36.93357076,51720
376,3,US,Texas,Young,county,"Young, Texas, US",,-98.68790885,33.17659707,48503
377,2,Canada,Quebec,,province,"Quebec, Canada",,-73.5491,52.9399,
378,3,US,Iowa,Mitchell,county,"Mitchell, Iowa, US",,-92.78887719,43.35638371,19131
379,3,US,Mississippi,Harrison,county,"Harrison, Mississippi, US",,-89.12467576,30.51359752,28047
380,3,US,Kentucky,Simpson,county,"Simpson, Kentucky, US",,-86.58047435,36.74058474,21213
381,3,US,Mississippi,Warren,county,"Warren, Mississippi, US",,-90.83352619,32.35810271,28149
382,3,US,Kentucky,Mercer,county,"Mercer, Kentucky, US",,-84.87488475,37.81474237,21167
383,3,US,Wisconsin,Waupaca,county,"Waupaca, Wisconsin, US",,-88.96534501,44.47068056,55135
